City,Fuel Type,Kms Driven,Transmission,Owner Number,Brand,Price,Seats,Mileage,Engine,Max Power,Torque,Car Age
Bangalore,Petrol,120000,Manual,3,Maruti,400000,5,23,998,67,90,10
Bangalore,Petrol,32706,Manual,2,Ford,811000,5,17,1497,121,150,7
Bangalore,Petrol,11949,Manual,1,Tata,585000,5,23,1199,84,114,7
Bangalore,Petrol,17794,Manual,1,Hyundai,462000,5,19,1197,81,113,11
Bangalore,Diesel,60000,Manual,1,Maruti,790000,5,23,1248,88,200,10
Bangalore,Diesel,20000,Manual,1,Jeep,1775000,5,17,1949,170,350,5
Bangalore,Petrol,37772,Manual,1,Datsun,345000,5,20,1198,67,104,8
Bangalore,Petrol,30000,Automatic,1,Hyundai,1200000,5,18,998,118,171,4
Bangalore,Petrol,37000,Automatic,1,Maruti,960000,5,20,1462,103,138,7
Bangalore,Petrol,11949,Manual,1,Tata,585000,5,23,1199,84,114,8
Bangalore,Petrol,50000,Manual,1,Maruti,690000,5,21,1197,83,115,7
Bangalore,Petrol,24887,Automatic,1,Hyundai,682000,5,18,1197,81,113,6
Bangalore,Petrol,23000,Automatic,1,Honda,825000,5,18,1199,88,110,7
Bangalore,Petrol,48928,Automatic,1,Tata,595000,5,23,1199,83,114,7
Bangalore,Diesel,108862,Manual,3,Mahindra,690000,7,15,1949,140,330,11
Bangalore,Diesel,80000,Manual,1,Jeep,1350000,5,17,1949,170,350,7
Bangalore,Diesel,16000,Automatic,1,Mercedes-Benz,1775000,5,19,1949,178,372,3
Bangalore,Diesel,65376,Manual,2,Hyundai,521000,5,21,1396,88,219,11
Bangalore,Petrol,10000,Manual,1,Tata,1005000,5,17,1199,118,170,3
Bangalore,Petrol,67000,Manual,2,Honda,775000,5,17,1497,117,145,9
Bangalore,Diesel,100000,Automatic,3,BMW,1775000,5,18,1949,177,35,14
Bangalore,Petrol,18083,Manual,1,Maruti,582000,5,22,1197,88,113,9
Bangalore,Petrol,30000,Manual,1,Renault,1090000,5,16,1498,104,142,5
Bangalore,Petrol,57634,Manual,2,Tata,457000,5,23,1199,84,114,9
Bangalore,Petrol,50000,Automatic,2,Mercedes-Benz,1775000,5,11,1949,178,372,9
Bangalore,Petrol,110000,Manual,1,Honda,550000,5,17,1497,117,145,10
Bangalore,Petrol,23447,Automatic,1,Hyundai,570000,5,20,1086,68,99,7
Bangalore,Lpg,30000,Manual,2,Hyundai,220000,5,13,1086,62,96,16
Bangalore,Petrol,33000,Automatic,1,Mercedes-Benz,1775000,5,15,1949,178,300,8
Bangalore,Diesel,87667,Manual,2,Mahindra,861000,7,15,1949,140,330,11
